Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-11.696399999999999,-9.9,26.2,24.5
-9.7,-7.9,23.2,21.840999999999987
-4.3964,-2.8409999999999993,20.996399999999994,19.9
-5.2,-4.6,23.9,21.4
-5.1,-4.5,20.796399999999995,19.7
-5.9963999999999995,-4.5409999999999995,21.7,20.4
-6.0,-5.2,23.0,21.6
-6.3964,-5.1,21.296399999999995,20.340999999999987
-16.1,-14.4,28.796399999999995,26.5
-15.9,-14.241,26.196399999999993,24.140999999999988
-16.4928,-13.6,24.4,23.2
-13.5964,-11.7,27.396399999999993,24.840999999999987
-13.5964,-11.8,26.5,24.4
-13.0964,-11.3,28.296399999999995,25.8
-14.3964,-12.081999999999999,24.0,22.840999999999987
-12.9,-10.9,26.1,24.140999999999988
-13.696399999999999,-11.0,25.096399999999996,23.0
-16.2,-14.0,23.6,22.6
-15.1,-13.441,24.996399999999994,23.7
-15.1,-13.5,24.996399999999994,23.7
-16.1964,-13.9,26.892799999999987,24.0
-12.9964,-11.5,27.2,25.7
-14.4964,-12.0,27.2,25.7
-6.3,-5.7,21.5,20.6
-5.3,-4.5,21.196399999999993,20.2
-7.0,-5.9,24.3,22.6
-11.0964,-9.7,24.0,22.3
-12.3964,-10.8,25.9,23.840999999999987
-14.0,-12.341000000000001,25.5,23.7
-9.5964,-7.2,21.8,20.5
-5.2,-4.5,20.7,19.8
-4.9,-4.4,20.7,19.8
-13.3964,-11.6,24.9,23.840999999999987
-12.2964,-11.441,27.4,25.340999999999987
-12.2964,-11.441,27.4,25.4
-10.5,-9.2,25.396399999999993,23.6
-10.2,-8.5,24.6,23.4
-9.5,-8.3,25.396399999999993,23.5
-4.2,-3.5,21.496399999999994,20.6
-8.3964,-6.0,21.2,20.3
-6.3,-4.8,23.796399999999995,22.2
-9.0,-8.0,25.0,23.0
-8.0,-7.0,23.0,21.0
-8.0,-7.0,24.0,22.0
-17.0,-15.2,24.6,22.840999999999987
-17.0,-14.8,24.8,23.3
-17.2,-14.741,27.896399999999993,24.9
-0.9639999999999986,1.0,17.0,16.0
-1.9964,1.0,21.0,19.0
0.0,0.7590000000000003,21.0,19.0
-16.5,-14.7,24.0,23.0
-14.8856,-12.7,27.0,25.2
-17.9964,-15.541,23.196399999999993,22.1
1.0,2.0,16.0,15.0
-2.6964,-0.8,17.0,16.0
-2.6964,-0.8,17.0,16.0
-10.4,-9.6,23.5,21.0
-10.5964,-9.9,23.99279999999999,21.8
-11.4,-10.1,23.99279999999999,21.540999999999986
-12.0,-10.4,27.096399999999996,24.8
-9.0,-7.8,25.192799999999988,23.9
-10.3,-9.4,26.896399999999993,24.4
-11.5964,-9.4,26.392799999999987,23.7
-12.3928,-11.0,25.0,23.0
-11.0,-9.5,23.7,22.2
-7.9928,-6.3,21.5,20.7
-6.3,-5.140999999999999,21.8,20.840999999999987
-7.8,-6.4,23.2,21.8
-9.0,-7.0,28.0,25.0
-9.7928,-7.941,26.1,24.6
-10.0,-8.0,26.0,25.0
-21.2928,-19.8,20.3,18.140999999999988
-22.4928,-20.041,20.196399999999993,17.940999999999985
-24.296400000000002,-22.9,18.296399999999995,16.5
-29.3,-24.541,19.3,17.5
-21.3964,-19.041,19.0,17.3
-24.596400000000003,-22.541,20.1,18.6
-27.2,-23.1,20.6,18.3
-29.4928,-27.0,19.6,17.9
-29.4928,-26.041,20.196399999999993,18.2
-19.5,-17.841,15.8,13.8
-22.9928,-20.1,15.8,13.9
-21.6964,-19.5,14.0,12.8
-28.096400000000003,-25.8,22.196399999999993,19.4
-28.5,-27.141000000000002,23.29279999999999,19.9
-28.5,-26.7,22.4,19.540999999999986
-35.8964,-33.7,22.1,20.3
-35.785599999999995,-31.6,20.1,18.4
-38.4964,-36.241,21.496399999999994,19.5
-25.1964,-23.7,21.396399999999993,19.540999999999986
-26.1,-23.6,22.6,20.3
-27.9,-25.2,21.9,19.7
-24.8,-23.1,19.796399999999995,18.5
-24.7,-22.841,23.596399999999996,21.0
-24.8,-23.241,23.99279999999999,21.740999999999985
-27.0,-24.5,24.0,21.0
